company_id,company_name,year_coverage,status
HEROMOTOCO,"Hero MotoCorp Ltd
",12,PASS
CANBK,Canara Bank,13,PASS
JSWENERGY,JSW Energy Ltd,13,PASS
PNB,Punjab National Bank,13,PASS
ABB,Abbott India Ltd,13,PASS
